x,y
1156,555
1157,556
1158,553
1159,551
1160,550
1161,547
1162,547
1163,543
1164,541
1165,537
1166,536
1167,531
1168,529
1169,527
1170,527
1171,524
1172,524
1173,519
1174,518
1175,514
1176,511
1177,509
1178,506
1179,501
1180,498
1181,492
1182,489
1183,487
1184,483
1185,478
1186,473
1187,469
1188,464
1189,461
1190,457
1191,452
1192,449
1193,444
1194,441
1195,437
1196,434
1197,429
1198,429
1199,426
1200,421
1201,421
1202,411
1203,409
1204,403
1205,401
1206,400
1207,398
1208,395
1209,390
1210,387
1211,381
1212,376
1213,370
1214,363
1215,361
1216,360
1217,358
1218,356
1219,351
1220,348
1221,343
1222,341
1223,335
1224,330
1225,326
1226,325
1227,325
1228,322
1229,319
1230,313
1231,304
1232,296
1233,287
1234,282
1235,278
1236,277
1237,272
1238,271
1239,266
1240,262
1241,258
1242,251
1243,249
1244,238
1245,236
1246,232
1247,228
1248,229
1249,229
1250,227
1251,225
1252,223
1253,220
1254,215
1255,206
1256,197
1257,192
1258,185
1259,182
1260,177
1261,175
1262,167
1263,165
1264,159
1265,157
1266,157
1267,154
1268,149
1269,142
1270,138
1271,133
1272,134
1273,134
1274,133
1275,133
1276,132
1277,132
1278,132
1279,130
1280,125
1281,117
1282,113
1283,111
1284,113
1285,115
1286,112
1287,108
1288,104
1289,102
1290,102
1291,102
1292,96
1293,95
1294,90
1295,90
1296,90
1297,91
1298,89
1299,90
1300,90
1301,94
1302,94
1303,94
1304,92
1305,87
1306,84
1307,80
1309,82
1310,84
1311,90
1312,96
1313,101
1314,97
1315,92
1316,87
1317,83
1318,88
1319,88
1320,89
1321,90
1322,90
1323,92
1324,90
1325,90
1326,89
1327,91
1328,94
1329,98
1330,106
1331,106
1332,121
1333,121
1334,125
1335,126
1336,130
1337,132
1338,137
1339,141
1340,144
1341,148
1342,152
1343,154
1344,157
1345,157
1346,158
1347,158
1348,159
1349,158
1350,160
1351,165
1352,169
1353,179
1354,181
1355,186
1356,189
1357,195
1358,201
1359,209
1360,221
1361,228
1362,236
1363,242
1364,247
1365,252
1366,259
1367,266
1368,271
1369,278
1370,282
1371,288
1372,295
1373,299
1374,306
1375,313
1376,320
1377,323
1378,332
1379,333
1380,335
1381,335
1382,335
1383,336
1384,345
1385,346
1386,352
1387,355
1388,355
1389,360
1390,363
1391,366
1392,373
1393,375
1394,382
1395,385
1396,390
1397,390
1398,394
1399,395
1400,397
1401,398
1402,400
1403,404
1404,406
1405,408
1406,408
1407,414
1408,416
1409,421
1410,424
1411,427
1412,429
1413,433
1414,434
1415,436
1416,437
1417,440
1418,443
1419,446
1420,450
1421,454
1422,457
1423,461
1424,462
1425,467
1426,470
1427,472
1428,477
1429,477
1430,482
1431,483
1432,488
1433,489
1434,491
1435,492
1436,496
1437,496
1438,500
1439,501
1440,502
1441,506
1442,507
1443,508
1444,510
1445,512
1446,514
1447,516
1448,516
1449,520
1450,522
1451,524
1452,526
1453,528
1454,529
1455,531
1456,531
1457,532
1458,533
1459,534
1460,536
1461,537
1462,537
1463,538
1464,540
1465,542
1469,543
1470,544
1471,546
1472,545
1473,545
1474,546
1475,544
1476,544
1477,544
1478,544
1479,546
1480,546
1481,545
1482,545
1483,548
1484,548
1485,549
1486,549
1487,551
1488,551
1489,553
1490,553
1491,555
1492,555
1493,557
1494,557
1495,558
1496,559
1497,561
1498,559
1499,558
1500,557
1501,559
1502,559
1503,562
1504,563
1505,563
1506,564
1507,563
1508,565
1509,568
1510,569
1511,569
1512,569
1513,569
1514,569
1515,568
1516,567
1517,569
1518,571
1519,571
1520,572
1521,572
1522,573
1523,575
1524,576
1525,578
1526,578
1527,580
1528,577
1529,578
1530,578
1531,578
1532,578
1533,579
1534,579
1535,579
1536,578
1537,578
1538,578
1539,578
1540,578
1541,575
1542,575
1543,575
1544,576
1545,578
1546,578
1547,580
1548,579
1549,582
1550,582
1551,583
1552,586
1553,587
1554,589
1555,591
1556,592
1557,592
1558,592
1559,592
1560,591
1561,591
1562,588
1563,588
1564,589
1565,591
1566,592
1567,592
1568,592
1569,592
1570,592
1571,594
1572,594
1573,597
1574,597
1575,597
1576,598
1580,598
1585,598
1588,596
1589,595
1590,593
1591,592
1592,592
1593,593
1594,595
1595,597
1598,598
1599,599
1600,601
1601,602
1602,602
1603,602
1604,602
1605,602
1606,602
1607,602
1608,601
1609,598
1610,598
1611,598
1612,600
1613,599
1614,602
1615,602
1616,604
1617,604
1618,602
1619,602
1620,602
1621,602
1622,604
1623,607
1624,607
1625,608
1626,608
1627,606
1628,606
1629,604
1630,603
1631,602
1632,604
1633,604
1634,604
1635,604
1636,603
1637,602
1638,604
1639,604
1640,604
1641,604
1642,604
1643,604
1644,605
1645,607
1646,610
1647,612
1648,612
1649,612
1650,612
1651,612
1652,612
1653,612
1654,612
1655,612
1656,612
1657,612
1658,612
1659,612
1660,612
1661,612
1662,612
1663,612
1664,612
1665,612
1666,612
1667,614
1668,614
1669,616
1670,616
1671,613
1672,612
1673,612
1674,610
1675,605
1676,599
1677,595
1678,596
1679,599
1680,594
1681,581
1682,569
1683,556
1684,551
1685,559
1686,561
1687,570
1688,568
1689,567
1690,568
1691,572
1692,576
1693,586
1694,588
1695,595
1696,598
1697,603
1698,603
1699,607
1700,607
1701,610
1702,610
1703,612
1704,612
1705,613
1706,614
1707,617
1708,617
1709,617
1710,617
1711,618
1712,618
1713,620
1714,621
1715,621
1716,620
1717,620
1718,620
1719,621
1720,621
1721,620
1722,620
1723,620
1724,621
1725,621
1726,620
1727,620
1728,618
1729,616
1730,613
1731,614
1732,614
1733,617
1734,617
1735,617
1736,617
1737,617
1738,617
1739,617
1740,615
1741,614
1742,614
1743,614
1744,617
1745,617
1746,617
1747,617
1748,617
1749,617
1750,618
1751,618
1752,617
1753,616
1754,613
1755,613
1756,616
1757,617
1758,617
1759,617
1760,617
1761,617
1762,617
1763,617
1764,617
1765,618
1766,621
1767,620
1768,620
1769,621
1770,621
1771,620
1772,620
1773,620
1774,621
1775,621
1776,620
1777,618
1778,619
1779,618
1780,618
1781,618
1782,617
1783,617
1784,616
1785,616
1786,611
1787,609
1788,606
1789,604
1790,604
1791,602
1792,602
1793,602
1794,602
1795,602
1796,602
1797,602
1798,602
1799,602
1800,602
1801,602
1802,606
1803,606
1804,608
1805,608
1806,608
1807,611
1808,610
1809,609
1810,607
1811,606
1812,606
1813,608
1814,611
1815,610
1816,610
1817,612
1818,612
1819,613
1820,613
1821,612
1822,611
1823,609
1824,611
1825,612
1826,616
1827,617
1828,617
1829,617
1830,617
1831,617
1832,618
1833,618
1834,621
1835,621
1836,620
1837,620
1838,620
1839,621
1840,621
1841,618
1842,616
1843,614
1844,613
1845,613
1846,616
1847,617
1848,617
1849,617
